country,Countrydata_1,Countrydata_2,Countrydata_3,Countrydata_4,Countrydata_5,Countrydata_6,means,medoids,medians
Afghanistan,0.0013341113928995,0.00110690874892928,0.0046107115063543,0.00128153557446011,0.00567161641414912,0.00094167046240549,4,3,2
Albania,0.00302404841416558,0.00101020679715684,0.00495808744961455,0.00081680289361194,0.00755871275456291,0.00055016838581218,4,3,2
Algeria,0.0040004564708971,0.000786759568789432,0.00334325874040473,0.00190681227232856,0.00757748983257697,0.000666586269499399,4,3,2
Angola,0.00624431729357817,0.000662830853896586,0.00442294072621362,0.00249829022977169,0.00603776943542343,0.000973591495029404,4,2,2
Antigua and Barbuda,0.0046670427403965,0.00096138639432026,0.00592510696733903,0.000530452453897409,0.00760565544959808,0.000595233373045942,4,2,2
Argentina,0.00216969136452551,0.00115572915176586,0.00189742373332153,0.00235746214466619,0.00751177005952774,0.000617765866662824,4,3,2
Armenia,0.00234807360565915,0.00080835320850561,0.00464826566238243,0.00112474697304265,0.00727705658435189,0.000553923801414994,4,3,2
Australia,0.00225418821558881,0.00121487694751017,0.00235746214466619,0.000504164544677715,0.00809385947796383,0.000576456295031875,4,3,2
Austria,0.00521157800280446,0.00142799678296984,0.00488297913755828,0.000477219437727528,0.00795303139285833,0.000530452453897409,4,2,2
Azerbaijan,0.00549323417301547,0.00094730358580971,0.00233868506665212,0.00169087587516679,0.00688273794605647,0.000575517441131172,4,2,2
Bahamas,0.00368124614465795,0.00113601321985109,0.00449804903826989,0.00035836053389848,0.00732399927938706,0.000569884317726951,4,3,2
Bahrain,0.00692029210208461,0.000861867880845702,0.00517402384677632,0.00109376479431944,0.0075305471375418,0.000598049934748053,4,4,2
Bangladesh,0.00189742373332153,0.000725734065243712,0.00244195899572949,0.00106559917729834,0.00700478895314791,0.00061401045106001,4,3,2
Barbados,0.00410373039997447,0.00114352405105672,0.00496747598862158,0.000425394702408701,0.00759626691059104,0.000562373486521324,4,2,2
Belarus,0.00522096654181149,0.000921954530490719,0.00645086515173292,0.00181292688225823,0.00700478895314791,0.000535146723400926,4,2,2
Belgium,0.00756810129356994,0.00139983116594874,0.00740849613045037,0.000571762025528358,0.00790608869782316,0.000569884317726951,4,4,2
Belize,0.00585938719428979,0.00088346152056188,0.00579366742124055,0.000502286836876308,0.00709867434321825,0.000649686899286738,4,2,2
Benin,0.00262972977587017,0.000780187591484508,0.00388779400281269,0.000478346062408372,0.00619737459854301,0.000898483182973134,4,3,2
Bhutan,0.00438538657018548,0.00088346152056188,0.00703295457016901,0.000957630978717447,0.00716439411626749,0.000618704720563527,4,2,2
Bolivia,0.00426333556309405,0.000849662780136558,0.00361552637160871,0.00121957121701369,0.00711745142123232,0.000695690740421204,4,3,2
Bosnia and Herzegovina,0.00318365357728516,0.00143738532197687,0.00521157800280446,0.000526697038294596,0.00760565544959808,0.000518247353188265,4,3,2
